FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
320990,ON,NIP97, ,49.848999999999997,-85.643799999999999,1999,8,27,1999-08-27 00:00:00,,,1990-1999,1044.000000000000000,H,Intensive, , ,ON-1999-NIP97, , ,,400,96,6,6b,ON
76389,BC,1985-K10035, ,52.625999999999998,-120.123000000000000,1985,7,15,1985-07-15 00:00:00,,,1980-1989,2150.000000000000000,L, ,Fire, ,BC-1985-1985-K10035, , ,2020-05-05 00:00:00,985,205,14,14,BC
225020,SK,BELL,BELL,59.494799999999998,-104.593800000000000,1996,6,9,1996-06-09 00:00:00,,1996-06-18 00:00:00,1990-1999,575.000000000000000,L, ,Wildfire, ,SK-1996-BELL, , ,2020-04-03 00:00:00,278,71,5,5a,SK
254818,MB,NE099, ,58.591110999999998,-100.675556000000000,2017,7,28,2017-07-28 00:00:00,,2017-10-01 00:00:00,2010-2019,1171.000000000000000,L,W (Observation Zone), ,Limited Action,MB-2017-NE099, , ,2018-05-18 00:00:00,279,71,5,5a,MB
186040,AB,HWF213, ,57.916832999999997,-116.023867000000000,2015,6,25,2015-06-25 00:00:00,,2015-11-24 00:00:00,2010-2019,12822.500000000000000,L, ,Crown,fueltype: C2,AB-2015-HWF213, , ,2020-06-01 00:00:00,601,139,9,9,AB
362208,QC,2013-332, ,51.692799999999998,-68.123300000000000,2013,7,5,2013-07-05 00:00:00,,2013-08-15 00:00:00,2010-2019,4143.199999999999800,L,Nordique, , ,QC-2013-332, , ,2018-05-18 00:00:00,434,101,6,6b,QC
394958,NL,NA, ,52.670000000000002,-59.530000000000001,1974,6,29,1974-06-29 00:00:00,,,1970-1979,1174.000000000000000,L,NA, , ,NL-1974-NA, , ,2008-11-12 00:00:00,328,80,5,5b,NL
377736,NT,SS005-14, ,61.125833000000000,-116.808666000000000,2014,6,1,2014-06-01 00:00:00,,2014-10-03 00:00:00,2010-2019,5195.420000000000100,H,Limited Action, , ,NT-2014-SS005-14, , ,2018-06-15 00:00:00,241,64,4,4,NT
242922,MB,7-2-1-89, ,52.015500000000003,-100.248500000000010,1989,4,21,1989-04-21 00:00:00,1989-04-22 00:00:00,1989-04-27 00:00:00,1980-1989,637.799999999999950,H,Intensive, , ,MB-1989-7-2-1-89, , ,2008-07-24 00:00:00,717,155,9,9,MB
375124,NT,VQ-010, ,66.760300000000001,-130.460500000000000,1998,7,3,1998-07-03 00:00:00,,1998-09-28 00:00:00,1990-1999,130000.000000000000000,L,Delayed Action, , ,NT-1998-VQ-010, , ,2018-06-15 00:00:00,213,53,4,4,NT
224887,SK,19SR-SHOAL,19SR-SHOAL,59.638908000000001,-105.521390000000000,2019,7,18,2019-07-18 00:00:00,,2019-08-05 00:00:00,2010-2019,3013.800000000000200,L, ,Wildfire, ,SK-2019-19SR-SHOAL, , ,2020-04-03 00:00:00,263,69,5,5a,SK
336899,QC,1987-1051, ,48.138190000000002,-67.795599999999993,1987,5,27,1987-05-27 00:00:00,,1987-06-09 00:00:00,1980-1989,1315.000000000000000,H,Intensive, , ,QC-1987-1051, , ,2018-05-18 00:00:00,481,117,7,7,QC
378184,YT,1951TE044, ,60.184826000000001,-128.407540000000010,1951,7,30,1951-07-30 00:00:00,,,1950-1959,1570.640000000000100,L, , , ,YT-1951-1951TE044, , ,2016-06-16 00:00:00,925,181,12,12,YT
316649,ON,THU24, ,50.648000000000003,-89.305599999999998,1992,6,12,1992-06-12 00:00:00,,,1990-1999,3775.000000000000000,L,Intensive, , ,ON-1992-THU24, , ,,385,94,6,6a,ON
362346,QC,2011-155, ,51.072200000000002,-77.641099999999994,2011,7,11,2011-07-11 00:00:00,2011-09-02 00:00:00,2011-09-02 00:00:00,2010-2019,2029.500000000000000,L,Nordique, , ,QC-2011-155, , ,2018-05-18 00:00:00,398,96,6,6b,QC
315327,ON,SLK18, ,52.749099999999999,-89.674300000000002,1995,5,30,1995-05-30 00:00:00,,,1990-1999,6598.000000000000000,L,EXT, , ,ON-1995-SLK18, , ,,393,95,6,6a,ON
315508,ON,NIP68, ,52.023699999999998,-87.313299999999998,1996,6,12,1996-06-12 00:00:00,,,1990-1999,8649.899999999999600,L,EXT, , ,ON-1996-NIP68, , ,,394,95,6,6a,ON
249846,MB,NE261, ,57.880555999999999,-100.508056000000000,2006,6,1,2006-06-01 00:00:00,,,2000-2009,771.899999999999980,L,W (Observation Zone), ,No Action,MB-2006-NE261, , ,2009-07-06 00:00:00,280,71,5,5a,MB
230675,SK,COREEN, ,57.036000000000001,-107.991000000000000,1980,7,3,1980-07-03 00:00:00,,,1980-1989,10122.000000000000000,L,EXT, , ,SK-1980-COREEN, , ,,348,88,6,6a,SK
5273,BC,1958-R00091, ,55.567999999999998,-126.773000000000000,1958,7,5,1958-07-05 00:00:00,,,1950-1959,1035.900000000000100,L, ,Fire, ,BC-1958-1958-R00091, , ,2020-05-05 00:00:00,980,203,14,14,BC
155721,AB,DP2-002-93,DP2002,57.004600000000003,-119.773700000000010,1993,6,6,1993-06-06 00:00:00,1993-06-06 00:00:00,1993-06-24 00:00:00,1990-1999,665.899999999999980,L, ,Crown, ,AB-1993-DP2-002-93, , ,2020-06-01 00:00:00,581,137,9,9,AB
371245,NT,ZF-006, ,63.450000000000003,-112.533300000000000,1999,6,21,1999-06-21 00:00:00,,1999-08-31 00:00:00,1990-1999,6700.000000000000000,L,Monitored, , ,NT-1999-ZF-006, , ,2018-06-15 00:00:00,258,68,5,5a,NT
60264,BC,1979-GI0004, ,56.198000000000000,-121.110000000000000,1979,5,23,1979-05-23 00:00:00,,,1970-1979,1000.000000000000000,H, ,Fire, ,BC-1979-1979-GI0004, , ,2020-05-05 00:00:00,591,138,9,9,BC
129977,BC,2012-G90160, ,59.808799999999998,-120.830800000000000,2012,7,4,2012-07-04 00:00:00,,,2010-2019,12196.299999999999000,L, ,Fire, ,BC-2012-2012-G90160, , ,2020-05-05 00:00:00,249,65,4,4,BC
249166,MB,SW12, ,50.941000000000003,-99.706000000000003,1964,5,24,1964-05-24 00:00:00,,,1960-1969,611.340000000000030,H,Intensive, , ,MB-1964-SW12, , ,2008-11-12 00:00:00,844,162,10,10,MB
400922,PC-WB,2015WB14,SweetGrass fire,58.977200000000003,-112.116500000000000,2015,6,14,2015-06-14 00:00:00,,,2010-2019,26962.799999999999000,L,Modified Response, , ,PC-WB-2015-2015WB14, , ,2016-06-20 00:00:00,578,136,9,9,PC
241038,MB,1-6-36-80, ,54.736400000000003,-95.334500000000006,1980,7,15,1980-07-15 00:00:00,1979-11-30 00:00:00,1980-08-05 00:00:00,1980-1989,1612.300000000000000,L,Intensive, , ,MB-1980-1-6-36-80, , ,2008-07-24 00:00:00,365,89,6,6a,MB
361506,NT,1977CR-002, ,61.600000000000001,-111.316700000000000,1977,6,17,1977-06-17 00:00:00,,,1970-1979,32977.000000000000000,L,EXT, , ,NT-1977-1977CR-002, , ,,263,69,5,5a,NT
315669,ON,COC74, ,51.426400000000001,-83.502799999999993,1998,7,14,1998-07-14 00:00:00,,,1990-1999,1100.000000000000000,L,EXT, , ,ON-1998-COC74, , ,,1028,217,15,15,ON
55,BC,1950-G00033, ,56.375999999999998,-120.980000000000000,1950,6,12,1950-06-12 00:00:00,,,1950-1959,1902.000000000000000,H, ,Fire, ,BC-1950-1950-G00033, , ,2020-05-05 00:00:00,585,137,9,9,BC
377682,YT,2004WL007, ,60.950000000000003,-129.716666699999990,2004,6,22,2004-06-22 00:00:00,,2004-09-30 00:00:00,2000-2009,8851.000000000000000,L,Wilderness FMZ, ,Little Jimmy Lake,YT-2004-2004WL007, , ,2016-06-16 00:00:00,912,178,12,12,YT
233469,SK,7, ,52.634000000000000,-102.522000000000010,1969,8,7,1969-08-07 00:00:00,,,1960-1969,809.710000000000040,H,Intensive, , ,SK-1969-007,chk pnt poly ref, ,2008-11-12 00:00:00,704,149,9,9,SK
381307,YT,1996BC002, ,61.766666999999998,-140.866667000000010,1996,6,15,1996-06-15 00:00:00,,,1990-1999,1826.250000000000000,L, , , ,YT-1996-1996BC002, , ,2016-06-16 00:00:00,887,173,12,12,YT
402256,PC-WL,2017WL13,Kenow Fire,49.068199999999997,-114.292300000000000,2017,9,3,2017-09-03 00:00:00,,,2010-2019,19302.900000000001000,L,Full Response,Type 1,Unified Command with PCA/AB/MD,PC-WL-2017-2017WL13, , ,2018-05-22 00:00:00,1019,214,14,14,PC
315698,ON,COC6, ,51.870300000000000,-82.400899999999993,2011,6,12,2011-06-12 00:00:00,,2011-09-17 00:00:00,2010-2019,500.000000000000000,L,MON,IFR, ,ON-2011-COC6, , ,2012-03-15 00:00:00,1028,217,15,15,ON
35156,BC,1971-G70086, ,55.933999999999997,-120.678000000000000,1971,5,1,1971-05-01 00:00:00,,,1970-1979,1499.700000000000000,H, ,Fire, ,BC-1971-1971-G70086, , ,2020-05-05 00:00:00,591,138,9,9,BC
38,BC,1952-R00052, ,57.625999999999998,-131.729000000000010,1952,6,24,1952-06-24 00:00:00,,,1950-1959,2201.400000000000100,H, ,Fire, ,BC-1952-1952-R00052, , ,2020-05-05 00:00:00,917,179,12,12,BC
349843,QC,2006-274, ,52.028779999999998,-76.653509999999997,2006,6,7,2006-06-07 00:00:00,,2006-06-20 00:00:00,2000-2009,732.000000000000000,L,Nordique, , ,QC-2006-274, , ,2018-05-18 00:00:00,1030,217,15,15,QC
232202,SK,17DB-FLO,17DB-FLO,54.940567000000001,-101.918800000000000,2017,8,1,2017-08-01 00:00:00,,2017-09-25 00:00:00,2010-2019,951.000000000000000,L, ,Wildfire, ,SK-2017-17DB-FLO, , ,2020-04-03 00:00:00,359,88,6,6a,SK
230679,SK,198, ,57.033000000000001,-107.477999999999990,1964,7,7,1964-07-07 00:00:00,,,1960-1969,48582.000000000000000,L,EXT, , ,SK-1964-198,chk pnt poly ref, ,2008-11-12 00:00:00,348,88,6,6a,SK
378164,YT,2004WL001, ,60.719999999999999,-128.483611099999990,2004,6,21,2004-06-21 00:00:00,,2004-09-30 00:00:00,2000-2009,10522.000000000000000,L,Transition FMZ, ,Hyland River,YT-2004-2004WL001, , ,2016-06-16 00:00:00,925,181,12,12,YT
216658,SK,18BN-KAYLE,18BN-KAYLE,56.415582999999998,-109.869517000000000,2018,6,23,2018-06-23 00:00:00,,2018-06-26 00:00:00,2010-2019,3100.000000000000000,L, ,Wildfire, ,SK-2018-18BN-KAYLE, , ,2020-04-03 00:00:00,637,139,9,9,SK
315364,ON,SLK51, ,52.693600000000004,-90.255099999999999,1996,6,9,1996-06-09 00:00:00,,,1990-1999,14930.000000000000000,L,Intensive, , ,ON-1996-SLK51, , ,,393,95,6,6a,ON
356335,QC,2010-154, ,49.751899999999999,-71.352800000000002,2010,5,16,2010-05-16 00:00:00,,2010-06-05 00:00:00,2010-2019,1654.500000000000000,H,Intensive, , ,QC-2010-154, , ,2018-05-18 00:00:00,437,101,6,6b,QC
379327,YT,2004XY019, ,60.412500000000001,-135.936388900000000,2004,7,8,2004-07-08 00:00:00,,2004-09-30 00:00:00,2000-2009,2742.000000000000000,L,Wilderness FMZ, ,Primrose River,YT-2004-2004XY019, , ,2016-06-16 00:00:00,909,177,12,12,YT
234200,MB,6-7-5-72, ,51.328000000000003,-98.301599999999993,1972,10,24,1972-10-24 00:00:00,,,1970-1979,682.000000000000000,H,Intensive, , ,MB-1972-6-7-5-72, , ,2008-07-24 00:00:00,723,155,9,9,MB
196265,AB,W05080, ,56.533499999999997,-114.233000000000000,1998,6,23,1998-06-23 00:00:00,,1998-07-05 00:00:00,1990-1999,500.000000000000000,L, ,Crown,fueltype: C2,AB-1998-W05080, , ,2020-06-01 00:00:00,604,139,9,9,AB
235085,MB,1-6-21-77, ,54.900100000000002,-94.420000000000002,1977,5,21,1977-05-21 00:00:00,1976-11-30 00:00:00,1977-07-05 00:00:00,1970-1979,862.899999999999980,L,Intensive, , ,MB-1977-1-6-21-77, , ,2008-07-24 00:00:00,360,89,6,6a,MB
380194,YT,1989MA014, ,63.799722000000003,-136.149722000000000,1989,7,13,1989-07-13 00:00:00,,,1980-1989,1865.819999999999900,L, , , ,YT-1989-1989MA014, , ,2016-06-16 00:00:00,898,176,12,12,YT
170295,AB,HWF145, ,59.121482999999998,-114.160100000000000,2006,8,22,2006-08-22 00:00:00,,2006-11-22 00:00:00,2000-2009,1865.000000000000000,L, ,Surface,fueltype: C2,AB-2006-HWF145, , ,2020-06-01 00:00:00,254,65,4,4,AB
373155,NT,CR-031, ,60.933300000000003,-110.433300000000000,1998,7,6,1998-07-06 00:00:00,,1998-08-11 00:00:00,1990-1999,4500.000000000000000,L,Sustained Action, , ,NT-1998-CR-031, , ,2018-06-15 00:00:00,263,69,5,5a,NT
254420,MB,EA134, ,49.104444800000003,-96.375277299999993,2011,11,15,2011-11-15 00:00:00,,,2010-2019,15111.100000000000000,H,R (High Priority), ,Limited Action,MB-2011-EA134, , ,2012-08-29 00:00:00,375,91,6,6a,MB
380235,YT,1994MA009, ,63.906019000000001,-136.356885000000010,1994,7,12,1994-07-12 00:00:00,,,1990-1999,1000.610000000000000,L, , , ,YT-1994-1994MA009, , ,2016-06-16 00:00:00,898,176,12,12,YT
240855,MB,1-7-3-86, ,53.816699999999997,-94.583299999999994,1986,5,26,1986-05-26 00:00:00,1986-05-26 00:00:00,1986-06-18 00:00:00,1980-1989,2839.800000000000200,H,Intensive, , ,MB-1986-1-7-3-86, , ,2008-07-24 00:00:00,364,89,6,6a,MB
394715,NL,1991-656, ,54.289999999999999,-65.856999999999999,1991,8,7,1991-08-07 00:00:00,,,1990-1999,4400.000000000000000,L,NA, , ,NL-1991-656, ,removed duplicate,2008-11-12 00:00:00,312,78,5,5b,NL
349968,QC,2003-531, ,51.033270000000002,-75.116609999999994,2003,6,24,2003-06-24 00:00:00,,2003-07-03 00:00:00,2000-2009,928.000000000000000,H,Nordique, , ,QC-2003-531, , ,2018-05-18 00:00:00,428,100,6,6b,QC
230058,SK,1975-007, ,58.484999999999999,-109.037000000000010,1975,0,0,,,,1970-1979,3257.000000000000000,U,EXT, , ,SK-1975-1975-007, , ,2008-11-12 00:00:00,338,87,6,6a,SK
